file	topic	snippets	test_status	result	check_pattern	expected_value	tolerance	quick	requires_feature
02-total-energy-and-force-methods/h2o-gpw-pbe.inp	GPW/PBE single point	001,002	passed	energy -17.212337144585153 Ha	ENERGY| Total FORCE_EVAL	-17.212337144585153	1e-10	yes	-
02-total-energy-and-force-methods/h2o-gpw-ot.inp	GPW/PBE with OT	001,005,006	passed	energy -17.212337144506982 Ha	ENERGY| Total FORCE_EVAL	-17.212337144506982	1e-10	no	-
02-total-energy-and-force-methods/h2o-gpw-smearing.inp	GPW/PBE with diagonalization and smearing	001,005	passed	energy -17.212334309139813 Ha	ENERGY| Total FORCE_EVAL	-17.212334309139813	1e-10	no	-
02-total-energy-and-force-methods/h2o-gapw-all-electron.inp	all-electron GAPW/PBE	003,004	passed	energy -76.238068224190314 Ha	ENERGY| Total FORCE_EVAL	-76.238068224190314	1e-10	no	-
02-total-energy-and-force-methods/h2o-pbe0-admm.inp	hybrid DFT with ADMM	010,011,012,013	passed	energy -17.151344159601688 Ha	ENERGY| Total FORCE_EVAL	-17.151344159601688	1e-10	no	-
02-total-energy-and-force-methods/h2o-dft-plus-u.inp	DFT+U setup	022,023,024,025	passed	energy -17.180669501745012 Ha	ENERGY| Total FORCE_EVAL	-17.180669501745012	1e-10	yes	-
02-total-energy-and-force-methods/h2o-ri-mp2.inp	RI-MP2 correlation	016,017	passed	energy -17.170315778164436 Ha	ENERGY| Total FORCE_EVAL	-17.170315778164436	1e-10	no	-
03-electronic-band-structure/diamond-kpoints-band-structure.inp	k-point band output	007,008,030,031	passed	energy -45.498947901745879 Ha	ENERGY| Total FORCE_EVAL	-45.498947901745879	1e-10	no	-
04-embedding-methods/h2o-sccs-solvation.inp	SCCS implicit solvation	032,033,034,035	passed	energy -17.226540497029429 Ha	ENERGY| Total FORCE_EVAL	-17.226540497029429	1e-10	no	-
04-embedding-methods/h2o-qmmm-gaussian.inp	Gaussian electrostatic QMMM	036,037,038,039	passed	energy -16.860414497766239 Ha	ENERGY| Total FORCE_EVAL	-16.860414497766239	1e-10	yes	-
04-embedding-methods/ch3oh-resp-charges.inp	RESP charge fitting	040,041,042	passed	energy -23.909587912298466 Ha; RESP RMS 7.55141E-05	ENERGY| Total FORCE_EVAL	-23.909587912298466	1e-10	no	-
