#      omega [at.u.]      x,real [at.u.]      x,imag [at.u.]      y,real [at.u.]      y,imag [at.u.]      z,real [at.u.]      z,imag [at.u.]
    -0.75991492E+001    -0.47851481E-004    -0.30117784E-010    -0.17521590E-008     0.18914604E-009    -0.45287333E-008    -0.20256362E-008
    -0.75915501E+001    -0.47851457E-004     0.47766789E-009    -0.13495202E-008    -0.59523345E-009    -0.23623232E-009     0.93304986E-009
    -0.75839509E+001    -0.47852082E-004     0.94866748E-009    -0.68920485E-009    -0.66085087E-010    -0.74892544E-008     0.61315693E-008
    -0.75763518E+001    -0.47852793E-004     0.11493591E-008    -0.14838352E-008    -0.39401204E-009    -0.12296708E-007    -0.80959743E-008
    -0.75687526E+001    -0.47853549E-004     0.16808800E-008    -0.13939907E-008     0.26189549E-009    -0.10847166E-008    -0.99297714E-008
    -0.75611535E+001    -0.47855001E-004     0.24622788E-008    -0.49046669E-009    -0.10691814E-009     0.25151225E-010    -0.10699062E-007
    -0.75535543E+001    -0.47856905E-004     0.27051301E-008    -0.27995939E-008     0.13614700E-008     0.75861759E-008    -0.43099915E-008
    -0.75459552E+001    -0.47858584E-004     0.32237874E-008    -0.35808445E-008    -0.82078429E-009     0.91305273E-008     0.48204611E-009
    -0.75383560E+001    -0.47861043E-004     0.38260803E-008    -0.31616426E-008    -0.28654201E-008     0.63964817E-008     0.60172443E-008
    -0.75307569E+001    -0.47863713E-004     0.40246935E-008    -0.28528151E-009    -0.37955687E-008     0.25569989E-008     0.53158523E-008
    -0.75231577E+001    -0.47866327E-004     0.43937447E-008     0.93084324E-009    -0.19415944E-008    -0.17259134E-008     0.66718115E-008
    -0.75155586E+001    -0.47869420E-004     0.49529393E-008     0.33350563E-009    -0.13819812E-008    -0.43095180E-008     0.48311611E-008
    -0.75079594E+001    -0.47872984E-004     0.51461722E-008     0.10116734E-008    -0.12086739E-008    -0.61561197E-008     0.73780182E-008
    -0.75003603E+001    -0.47876288E-004     0.53752506E-008     0.11475494E-008     0.52005226E-009    -0.10652781E-007     0.15024341E-008
    -0.74927611E+001    -0.47880231E-004     0.60054541E-008    -0.16447085E-009     0.35161170E-010    -0.59751938E-008    -0.14187632E-008
    -0.74851620E+001    -0.47884410E-004     0.62325770E-008    -0.27036199E-009    -0.46876642E-009    -0.10818696E-007     0.84135104E-009
    -0.74775628E+001    -0.47888565E-004     0.65901773E-008     0.21649024E-009    -0.43869017E-009    -0.10224159E-007    -0.52678373E-008
    -0.74699637E+001    -0.47893200E-004     0.72365195E-008     0.11268872E-008    -0.16425972E-009    -0.75214575E-008    -0.11381352E-007
    -0.74623645E+001    -0.47898290E-004     0.77645048E-008     0.46118062E-009     0.24717855E-008    -0.28011478E-008    -0.10723912E-007
    -0.74547654E+001    -0.47903418E-004     0.81149362E-008    -0.18830584E-008     0.16374062E-008     0.19452885E-008    -0.11021269E-007
    -0.74471662E+001    -0.47909097E-004     0.88768778E-008    -0.17398524E-008    -0.20561002E-009     0.24940005E-008    -0.11503072E-007
    -0.74395671E+001    -0.47915254E-004     0.91287701E-008    -0.12553007E-008     0.41405416E-009     0.10882436E-007    -0.65394552E-008
    -0.74319679E+001    -0.47921318E-004     0.93609615E-008    -0.18741019E-008     0.34960253E-009     0.52695335E-008    -0.10787633E-008
    -0.74243688E+001    -0.47927793E-004     0.98392519E-008    -0.28304713E-008    -0.20957193E-009     0.53933449E-008    -0.31972326E-008
    -0.74167696E+001    -0.47934599E-004     0.10107531E-007    -0.25520358E-008    -0.20867847E-008     0.10944268E-007    -0.77918897E-008
    -0.74091705E+001    -0.47941428E-004     0.10225515E-007    -0.17054999E-008    -0.23441350E-008     0.15564115E-007     0.57637181E-008
