#       omega [a.u.]         Energy [eV]       Real pol. 1 1       Imag pol. 1 1
     0.00000000E+000     0.00000000E+000     0.22213707E+002     0.16443961E-011
     0.75953516E-002     0.20668003E+000     0.22221103E+002     0.10542130E-001
     0.15190703E-001     0.41336005E+000     0.22243415E+002     0.21095737E-001
     0.22786055E-001     0.62004008E+000     0.22280822E+002     0.31792635E-001
     0.30381406E-001     0.82672011E+000     0.22333584E+002     0.42679883E-001
     0.37976758E-001     0.10334001E+001     0.22402147E+002     0.53837002E-001
     0.45572109E-001     0.12400802E+001     0.22487021E+002     0.65440192E-001
     0.53167461E-001     0.14467602E+001     0.22588804E+002     0.77543666E-001
     0.60762812E-001     0.16534402E+001     0.22708388E+002     0.90202146E-001
     0.68358164E-001     0.18601202E+001     0.22846798E+002     0.10362924E+000
     0.75953516E-001     0.20668003E+001     0.23005232E+002     0.11793004E+000
     0.83548867E-001     0.22734803E+001     0.23185276E+002     0.13326302E+000
     0.91144219E-001     0.24801603E+001     0.23388896E+002     0.15020883E+000
     0.98739570E-001     0.26868403E+001     0.23616505E+002     0.16937975E+000
     0.10633492E+000     0.28935204E+001     0.23873171E+002     0.18803076E+000
     0.11393027E+000     0.31002004E+001     0.24162111E+002     0.21013119E+000
     0.12152562E+000     0.33068804E+001     0.24486325E+002     0.23605698E+000
     0.12912098E+000     0.35135605E+001     0.24848573E+002     0.26466535E+000
     0.13671633E+000     0.37202405E+001     0.25259951E+002     0.29664546E+000
     0.14431168E+000     0.39269205E+001     0.25726255E+002     0.33534471E+000
     0.15190703E+000     0.41336005E+001     0.26258031E+002     0.38184367E+000
     0.15950238E+000     0.43402806E+001     0.26869727E+002     0.43888394E+000
     0.16709773E+000     0.45469606E+001     0.27580809E+002     0.51066853E+000
     0.17469309E+000     0.47536406E+001     0.28418970E+002     0.60359550E+000
     0.18228844E+000     0.49603206E+001     0.29424970E+002     0.72842704E+000
     0.18988379E+000     0.51670007E+001     0.30661268E+002     0.90405917E+000
     0.19747914E+000     0.53736807E+001     0.32229295E+002     0.11658813E+001
     0.20507449E+000     0.55803607E+001     0.34306003E+002     0.15875204E+001
     0.21266984E+000     0.57870407E+001     0.37228323E+002     0.23428196E+001
     0.22026520E+000     0.59937208E+001     0.41717222E+002     0.39238720E+001
     0.22786055E+000     0.62004008E+001     0.49525882E+002     0.81726215E+001
     0.23545590E+000     0.64070808E+001     0.63873751E+002     0.25731343E+002
     0.24305125E+000     0.66137609E+001     0.19896016E+002     0.81299903E+002
     0.25064660E+000     0.68204409E+001    -0.84850743E+001     0.22508153E+002
