
 Real time propagation step:                1
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.737113457287E-25  0.20571843E+01
      0.100000000000E+01  0.34235514E+00
      0.499209102449E-21 -0.13819356E+01
      0.466832328383E-21 -0.13918596E+01
      0.181133916466E-17 -0.14785851E+01
      0.181084035000E-17  0.16630062E+01
      0.161472792137E-21 -0.13935141E+01

 Real time propagation step:                2
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.284858777482E-24  0.25467577E+01
      0.100000000000E+01  0.68471011E+00
      0.194225725893E-20 -0.11919860E+01
      0.181100953603E-20 -0.12118667E+01
      0.101855247450E-16 -0.12610673E+01
      0.101827184905E-16  0.18805248E+01
      0.625138021390E-21 -0.12150570E+01

 Real time propagation step:                3
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.607704986614E-24  0.30332354E+01
      0.100000000000E+01  0.10270657E+01
      0.418698879478E-20 -0.10022106E+01
      0.388398982005E-20 -0.10320100E+01
      0.103589743737E-16 -0.90643943E+00
      0.103561155081E-16  0.22351528E+01
      0.133574603481E-20 -0.10369426E+01

 Real time propagation step:                4
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.100586854023E-23 -0.27650992E+01
      0.100000000000E+01  0.13694218E+01
      0.701689578501E-20 -0.81191169E+00
      0.646157822169E-20 -0.85159940E+00
      0.545604943086E-17  0.55856698E-01
      0.545453859444E-17 -0.30857357E+01
      0.220936976590E-20 -0.85843334E+00

 Real time propagation step:                5
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.143961394985E-23 -0.22812005E+01
      0.100000000000E+01  0.17117784E+01
      0.101656566684E-19 -0.62086352E+00
      0.927046671997E-20 -0.67040217E+00
      0.174539890941E-16  0.12212089E+01
      0.174491865050E-16 -0.19203832E+01
      0.314391057518E-20 -0.67917750E+00

 Real time propagation step:                6
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.186622281740E-23 -0.17988832E+01
      0.100000000000E+01  0.20541349E+01
      0.133448598672E-19 -0.42898454E+00
      0.120203255765E-19 -0.48830073E+00
      0.528394588502E-16  0.16759682E+01
      0.528249402190E-16 -0.14656241E+01
      0.403216179357E-20 -0.49887038E+00

 Real time propagation step:                7
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.225180120223E-23 -0.13175476E+01
      0.100000000000E+01  0.23964911E+01
      0.162705066541E-19 -0.23626438E+00
      0.144338338677E-19 -0.30525723E+00
      0.853285606384E-16  0.19800577E+01
      0.853051257495E-16 -0.11615346E+01
      0.477510037347E-20 -0.31721846E+00

 Real time propagation step:                8
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.257572452367E-23 -0.83606106E+00
      0.100000000000E+01  0.27388467E+01
      0.186863853520E-19 -0.42734784E-01
      0.162730609999E-19 -0.12127956E+00
      0.859596020888E-16  0.23185894E+01
      0.859360100404E-16 -0.82300298E+00
      0.529340026507E-20 -0.13395377E+00

 Real time propagation step:                9
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.282095287877E-23 -0.35562701E+00
      0.100000000000E+01  0.30812016E+01
      0.203837629672E-19  0.15154771E+00
      0.173605156183E-19  0.63655661E-01
      0.637506759395E-16  0.28324204E+01
      0.637332008112E-16 -0.30917214E+00
