
 Real time propagation step:                1
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.419196478556E-22 -0.12386055E+01
      0.464511166266E-21 -0.13857767E+01
      0.355934293121E-20  0.16028281E+01
      0.100000000000E+01  0.21412139E-01
      0.595945364662E-17  0.15876938E+01
      0.595781544683E-17 -0.15538989E+01
      0.263956578352E-21  0.15888856E+01

 Real time propagation step:                2
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.150812356972E-21 -0.90744288E+00
      0.180657832396E-20 -0.12009965E+01
      0.142423953235E-19  0.16348544E+01
      0.100000000000E+01  0.42824113E-01
      0.339232662043E-16  0.16062880E+01
      0.339139106385E-16 -0.15353044E+01
      0.105819180911E-20  0.16069318E+01

 Real time propagation step:                3
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.283479175136E-21 -0.57852207E+00
      0.387971408006E-20 -0.10167378E+01
      0.320558962100E-19  0.16668688E+01
      0.100000000000E+01  0.64236674E-01
      0.337496288676E-16  0.16246387E+01
      0.337402477738E-16 -0.15169532E+01
      0.238942274907E-20  0.16249363E+01

 Real time propagation step:                4
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.388386165382E-21 -0.25313462E+00
      0.646085680088E-20 -0.83321827E+00
      0.569884736233E-19  0.16988663E+01
      0.100000000000E+01  0.85649838E-01
      0.539511731907E-17  0.16449490E+01
      0.539354645451E-17 -0.14966403E+01
      0.426770909218E-20  0.16428984E+01

 Real time propagation step:                5
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.426259363224E-21  0.67237886E-01
      0.927743751209E-20 -0.65060495E+00
      0.889920561924E-19  0.17308446E+01
      0.100000000000E+01  0.10706339E+00
      0.113479352096E-16 -0.14851493E+01
      0.113450268726E-16  0.16564401E+01
      0.670587042812E-20  0.16608264E+01

 Real time propagation step:                6
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.384534441865E-21  0.38023921E+00
      0.120393756131E-19 -0.46896457E+00
      0.127975669450E-18  0.17628043E+01
      0.100000000000E+01  0.12847695E+00
      0.831289585207E-16 -0.14656076E+01
      0.831069120876E-16  0.16759834E+01
      0.972087580006E-20  0.16787033E+01

 Real time propagation step:                7
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.280778006800E-21  0.67985900E+00
      0.144689178058E-19 -0.28832094E+00
      0.173819996396E-18  0.17947515E+01
      0.100000000000E+01  0.14989014E+00
      0.161466168590E-15 -0.14474439E+01
      0.161423201239E-15  0.16941472E+01
      0.133365831236E-19  0.16964879E+01

 Real time propagation step:                8
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.154710044348E-21  0.94926836E+00
      0.163264334429E-19 -0.10867695E+00
      0.226395495919E-18  0.18266920E+01
      0.100000000000E+01  0.17130271E+00
      0.161405413214E-15 -0.14294895E+01
