
 Real time propagation step:                1
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.240531690836E-17 -0.14744392E+01
      0.466008372047E-17 -0.13060770E+01
      0.172004880432E-16 -0.10177344E+00
      0.451162798563E-15 -0.92374498E+00
      0.170848756466E-14  0.18252387E-01
      0.652423042282E-15  0.17537725E-01
      0.245730203621E-14 -0.26895018E+01

 Real time propagation step:                2
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.120723672908E-16 -0.99476211E+00
      0.261852119945E-16 -0.11722831E+01
      0.181997526641E-16 -0.25682237E+00
      0.183260045511E-14 -0.12449811E+01
      0.170851376262E-14  0.36507042E-01
      0.652422623384E-15  0.35075151E-01
      0.456340906327E-14 -0.22754297E+01

 Real time propagation step:                3
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.144277861689E-16 -0.93069066E+00
      0.267563579626E-16 -0.11822320E+01
      0.173402409670E-16 -0.22967278E+00
      0.181528489419E-14 -0.12386541E+01
      0.170855808976E-14  0.54766772E-01
      0.652421820039E-15  0.52612948E-01
      0.460822884607E-14 -0.22655176E+01

 Real time propagation step:                4
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.179307468194E-16 -0.12956143E+01
      0.150155249838E-16 -0.17987078E+01
      0.149983023909E-16  0.17709222E-02
      0.392569099599E-15 -0.90881091E+00
      0.170862119324E-14  0.73033142E-01
      0.652420630398E-15  0.70151049E-01
      0.253343771805E-14 -0.26653313E+01

 Real time propagation step:                5
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.453744178441E-16 -0.14984811E+01
      0.479452147129E-16 -0.25725564E+01
      0.151366452260E-16  0.39488262E+00
      0.666959148948E-15  0.12452076E+01
      0.170870357242E-14  0.91307073E-01
      0.652419148073E-15  0.87689171E-01
      0.291468946257E-14  0.26613930E+01

 Real time propagation step:                6
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.889583757141E-16 -0.14139134E+01
      0.141452445855E-15 -0.26714854E+01
      0.200322212915E-16  0.74514219E+00
      0.423014208471E-14  0.15215618E+01
      0.170880600506E-14  0.10958921E+00
      0.652417413177E-15  0.10522688E+00
      0.812116221110E-14  0.21867126E+01

 Real time propagation step:                7
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.113155047062E-15 -0.13041969E+01
      0.226487508679E-15 -0.26259423E+01
      0.265145965285E-16  0.92552297E+00
      0.816781114477E-14  0.15798255E+01
      0.170892979619E-14  0.12788038E+00
      0.652415310754E-15  0.12276370E+00
      0.138581145843E-13  0.20613953E+01

 Real time propagation step:                8
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.114709601708E-15 -0.13353115E+01
      0.228798885085E-15 -0.26188199E+01
      0.291673198498E-16  0.95119149E+00
      0.824198573858E-14  0.15863892E+01
      0.170907658595E-14  0.14618185E+00
      0.652412653808E-15  0.14029931E+00
      0.138612569496E-13  0.20673829E+01

 Real time propagation step:                9
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.145322313301E-15 -0.15029059E+01
      0.174507159116E-15 -0.27890907E+01
      0.267442007166E-16  0.83826280E+00
      0.432453772781E-14  0.15292719E+01
      0.170924781632E-14  0.16449534E+00
      0.652409411663E-15  0.15783359E+00
      0.795062535244E-14  0.22042683E+01

 Real time propagation step:               10
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.243225945622E-15 -0.15654918E+01
      0.170068118102E-15  0.31003111E+01
      0.234174669526E-16  0.60030426E+00
      0.719502067490E-15  0.11502148E+01
      0.170944470404E-14  0.18282270E+00
      0.652405713747E-15  0.17536670E+00
      0.252579666187E-14  0.27279719E+01

 Real time propagation step:               11
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.364735993797E-15 -0.14881889E+01
      0.265678837634E-15  0.28161691E+01
      0.230890136603E-16  0.32790392E+00
      0.715308043755E-15 -0.70008858E+00
